1. ['巧克力', '「谢谢惠顾～♪欢迎再度光临！」']
378. ['None', '第一次尝到木天蓼就醉成这副德性……']
379. ['None', '这样考试真的没问题吗？']
380. ['None', '算了，反正才第一天而已嘛。正向思考正向思考，嗯。']
381. ['嘉祥', '「好了妳们两个，要睡回自己的床上去睡～」']
382. ['巧克力', '「喵～♪居然想要带我们上床，主人大色狼～♪」']
383. ['香草', '「主人把我们灌得这么醉是在打什么鬼主意呢～」']
384. ['嘉祥', '「啊～真是的，妳们两个真是有够爱找麻烦。」']
385. ['嘉祥', '「好了好了快站起来。可以抓著我没关系，我们回房间去了。」']
386. ['巧克力', '「喵～♪主人，我要抱抱～♪」']
387. ['香草', '「不要抓脖子，抓脖子没有爱～」']
388. ['None', '不行，我看这样下去是绝对没办法通过考试的。']
389. ['None', '在将两只醉醺醺的猫娘送回房的途中，']
390. ['None', '我暗暗下定决心一定要把虎之卷好好研究一番。']
