1. ['搬家公司', '「多谢惠顾！那我们就先告辞啦！」']
432. ['巧克力＆香草', '『「好……」』']
433. ['嘉祥', '「晚安。如果有什么事的话记得叫我起来。」']
434. ['巧克力', '「嗯。晚安了，主人。」']
435. ['香草', '「晚安，主人。」']
436. ['None', '见到她们俩无精打采的模样，我又轻轻摸了摸两人的头。']
437. ['嘉祥', '「明天见。」']
438. ['None', '说完，我便把手伸向寝室的电灯开关。']
439. ['巧克力', '「……主人。」']
440. ['巧克力', '「……那个，今天真的很对不起。给你添了那么多麻烦……」']
441. ['None', '巧克力微弱的声音在昏暗的室内响起，']
442. ['None', '让我心中的苛责又更加深了一层。']
443. ['None', '我强忍著内心的煎熬，故作开朗地回答巧克力。']
444. ['嘉祥', '「不过是一晚而已，没什么好在意的。」']
445. ['巧克力', '「主人……」']
446. ['嘉祥', '「这次是真的晚安啰。」']
447. ['嘉祥', '「……果然还是不能太感情用事啊。」']
448. ['None', '我躺在沙发上，']
449. ['None', '对著天花板叹了口气。']
450. ['None', '要是现在被感情冲昏了头，']
451. ['None', '只会造成让她们俩更伤心的结果而已。']
452. ['None', '所以我绝对不能对她们太温柔，也不能把任何会带给她们期待的话语挂在嘴边。']
453. ['None', '否则我就会成为一个无可救药的大骗子。']
454. ['嘉祥', '「……我真是个没出息的家伙。」']
455. ['None', '对不断找借口的自己自嘲一番后，']
456. ['None', '我闭上眼，静静地等待睡意来临。']
457. ['时雨', '「关于这件事，我觉得应该尊重巧克力跟香草本人的意见才对。」']
458. ['时雨', '「如果是她们两个自己决定要回水无月家的话，我马上就会过去接她们回来。」']
459. ['None', '虽然好不容易才连络上时雨，']
460. ['None', '但是时雨却二话不说就拒绝了我的要求。']
461. ['嘉祥', '「时雨啊，就算妳说要尊重她们两个的意见……」']
462. ['时雨', '「话说回来，哥哥您今早还没对妹妹我倾诉爱意呢。」']
463. ['嘉祥', '「别说得好像是每天的习惯一样行不行。」']
464. ['嘉祥', '「比起这种事──」']
465. ['时雨', '「哎呀不好意思，父亲大人在叫我了。」']
466. ['时雨', '「那么我们再连络吧。哥哥我爱你哟。」']
467. ['嘉祥', '「啊，给我等一下！时雨……！」']
468. ['嘉祥', '「…………不是开玩笑吧？」']
469. ['None', '无情的电子音取代了时雨的声音，我只有无奈地看著手机。']
470. ['None', '还以为只要连络上时雨，问题就可以马上解决的说……']
471. ['巧克力', '「啊～，嗯呣嗯呣。今天的早饭真好吃～！」']
472. ['巧克力', '「主人作的饭不管什么时候吃都一样美味喵～♪」']
473. ['香草', '「巧克力，脸颊沾到番茄酱了。」']
474. ['香草', '「简直像艺术一样可爱，让人不禁想舔一口。舔舔舔。」']
475. ['None', '至于两只当事猫，则是坐在餐桌前心满意足地啃著三明治。']
476. ['None', '附带一提，今天的早餐是夹了番茄、起司、火腿、']
477. ['None', '还有半熟荷包蛋的简单版三明治。']
478. ['None', '以早餐来说应该没什么可挑剔的吧。']
479. ['嘉祥', '「妳们两个，今天别想我会再留妳们下来啰。」']
480. ['巧克力', '「主人跟我们在一起不开心吗？」']
481. ['巧克力', '「巧克力很开心喔。而且是本世纪以来最开心的一次！」']
482. ['香草', '「主人昨晚明明是那么的热情……」']
483. ['嘉祥', '「不准用这种容易招人误会的说法。」']
484. ['None', '看著她们俩无忧无虑的模样，我不禁叹口气，']
485. ['None', '接著又顺手帮她们俩各倒了一杯牛奶。']
486. ['None', '话说回来，猫娘能吃人类的食物这点，老实说还真省了我不少工夫。']
487. ['None', '虽然说每个猫娘喜欢吃的东西都不同就是了。']
488. ['嘉祥', '「总之，昨天为了妳们害我完全没时间整理行李，」']
489. ['嘉祥', '「加上今天起我还得为了正式开店做准备，」']
490. ['嘉祥', '「所以根本没时间可以陪妳们玩，知道吗？知道的话就给我乖乖回去。」']
491. ['None', '我一面伸手拿起三明治，一面朝两人说道。']
492. ['巧克力', '「……巧克力待在这里的话，会给主人带来困扰吗？」']
493. ['None', '巧克力放下手上的三明治，']
494. ['None', '用和昨天一样的可怜眼神看著我。']
495. ['嘉祥', '「没错。」']
496. ['None', '我用强硬口气答道。']
497. ['巧克力', '「……这样吗……这样啊……说得也是……」']
498. ['None', '巧克力的神情又比刚才更落寞了些，']
499. ['None', '就连头上的耳朵也跟著垂了下来。']
500. ['香草', '「巧克力……」']
501. ['None', '香草也不再像平常一样开巧克力玩笑，只是一脸担心地看著。']
502. ['嘉祥', '「…………」']
503. ['None', '和昨晚相同的罪恶感，']
504. ['None', '再度从心中涌现了出来。']
505. ['None', '我将已经完全冷掉的咖啡送到嘴边，']
506. ['None', '企图冲淡自己的感情，以免做出错误的判断。']
507. ['巧克力', '「就算这样……」']
508. ['巧克力', '「就算这样，人家……巧克力还是想要待在主人身边……」']
509. ['None', '平时总是挺得直直的耳朵都垂到底了，']
510. ['None', '即使如此，巧克力还是明确传达出了自己的希望。']
511. ['香草', '「如果巧克力打算待在这里，那我也会一起留下来。」']
512. ['香草', '「……我也想待在这里。」']
513. ['None', '虽然香草依旧一样面无表情，']
514. ['None', '但是她神情中也充满了强烈的意志。']
515. ['巧克力', '「…………」']
516. ['香草', '「…………」']
517. ['None', '……在我的印象中，巧克力和香草还是第一次这么不听话。']
518. ['None', '这个想法突然闪过脑海。']
519. ['None', '不过，要是我那么容易心软的话，']
520. ['None', '打从一开始我就不会叫她们俩回去了。']
521. ['嘉祥', '「所以说……」']
522. ['嘉祥', '「嗯？」']
523. ['餐具业者', '「您好！这里是『Royal Wood』！」']
524. ['餐具业者', '「贵店订的餐具送来了！」']
525. ['餐具业者', '「现在马上帮您搬到店里喔！」']
526. ['餐具业者', '「这是最后一箱了。」']
527. ['餐具业者', '「如果货品没错的话，就麻烦您在收据上签个名。」']
528. ['None', '餐具公司的人满脸笑容地将收据和笔递到我的眼前。']
529. ['嘉祥', '「好的，我看看……」']
530. ['None', '我接过收据，又再重新确认了一次。']
531. ['嘉祥', '「…………」']
532. ['嘉祥', '「……不好意思，这些好像不是我订的……」']
533. ['餐具业者', '「……咦，真的吗？」']
534. ['餐具业者', '「您的意思是，订单和实际送来的东西不符……是吗？」']
535. ['嘉祥', '「也不完全是啦，毕竟我订的东西好像就混在这里面……」']
536. ['None', '我望向堆在店里的大量纸箱。']
537. ['None', '纸箱堆出来的小山，']
538. ['None', '几乎占据了小小店面里的所有空间。']
539. ['嘉祥', '「如你所见，我们这家小店实在用不到那么多餐具……」']
540. ['餐具业者', '「不、不好意思！我马上跟总公司确认！」']
541. ['餐具业者', '「可以麻烦您稍等一下吗？」']
542. ['餐具业者', '「实在很抱歉……！」']
543. ['餐具业者', '「是我们这边出错，把贵店跟其他客户的订单混在一起了！」']
544. ['餐具业者', '「如果水无月先生您急著需要的话……」']
545. ['餐具业者', '「不知道是不是可以麻烦您把贵店订的份先挑出来……」']
546. ['嘉祥', '「你说挑出来……」']
547. ['嘉祥', '「……咦？从这一大堆箱子里面吗!?」']
548. ['None', '见到眼前堆积如山的纸箱，']
549. ['None', '我一句话也说不出来。']
550. ['None', '业者送来的箱子每个都长得一模一样，']
551. ['None', '想知道里面装些什么的话，除了一个个打开确认以外没有别的办法。']
552. ['None', '再加上收据上的品名全都是最高级的名牌茶组与餐具，']
553. ['None', '所以开箱的时候必须非常小心才行。']
554. ['嘉祥', '「那个，因为我还有开店事宜要准备，所以要是今天能收到餐具的话确实是帮了我一个大忙……」']
555. ['嘉祥', '「……可是，现在才开始分这个不会浪费太多时间吗？」']
556. ['餐具业者', '「当然，我也会帮忙的！」']
557. ['餐具业者', '「毕竟我等等还得赶去下一家送货，所以……！」']
558. ['嘉祥', '「拜托你别给我更多压力好吗……」']
559. ['None', '光看这个量，恐怕两个小时以内绝对确认不完吧。']
560. ['None', '可是请人家重送又很麻烦……']
561. ['嘉祥', '「…………嗯？」']
562. ['巧克力＆香草', '『「盯～」』']
563. ['嘉祥', '「我怎么忘了这里还有两双猫手呢──!!」']
564. ['巧克力＆香草', '『「喵喵!?怎么了喵!?」』']
565. ['餐具业者', '「太好了，多亏有两位小猫咪帮忙！」']
566. ['餐具业者', '「真的很不好意思，实在是太谢谢三位了！」']
567. ['餐具业者', '「那么我就先告辞了！」']
568. ['嘉祥', '「…………呼，没想到会这么累人……」']
569. ['None', '将自己订的餐具通通拿出来之后，']
570. ['None', '我整个人瘫在椅子上动也不想动。']
571. ['巧克力', '「主人，请喝冰茶！」']
572. ['嘉祥', '「谢谢妳了，巧克力。」']
573. ['None', '我一口气喝干了巧克力送来的冰茶。']
574. ['None', '既然轻食用的餐具都送来了，']
575. ['None', '也差不多该正式开始准备开店事宜了吧。']
576. ['None', '……虽然说的确有「连猫的手都想借」这句俗语，']
577. ['None', '不过这次我家的两只猫还真的是帮了大忙呢──']
578. ['嘉祥', '「…………嗯？」']
579. ['巧克力', '「盯～（夸奖人家嘛夸奖人家嘛♪）」']
580. ['None', '……出现了！是「夸奖我」力场！']
581. ['None', '只见巧克力露出满面笑容，一副已经准备好要接受夸奖的模样。']
582. ['嘉祥', '「……谢谢了，妳们帮了我一个大忙呢。」']
583. ['巧克力', '「耶～香草妳听到了吗？人家被主人称赞了耶～！」']
584. ['巧克力', '「耶～！呀呼～!!」']
585. ['香草', '「嗯，嗯。这样也不枉我一直待在柱子背后偷看了。好乖好乖。」']
586. ['巧克力', '「巧克力有帮上主人的忙对不对？对不对？」']
587. ['巧克力', '「人家觉得主人一个人一定会很辛苦的哟♪对不对？」']
588. ['香草', '「嗯，嗯。猫娘也完全可以帮上忙。」']
589. ['香草', '「要不是有我们在的话，说不定餐具到现在都还没分完呢。」']
590. ['嘉祥', '「等等，妳们靠得也太近了……」']
591. ['None', '两只猫娘不断把脸凑过来，拼命强调自己的主张。']
592. ['嘉祥', '「好吧，我承认刚刚要是没有巧克力跟香草在的话，事情可能会更麻烦……」']
593. ['嘉祥', '「可是这跟那是两回事，妳们还是得回家去才行。」']
594. ['嘉祥', '「再说我也从来没说过要妳们留下来帮忙开店这种话。」']
595. ['巧克力', '「…………果然，我们还是不能留下来吗……」']
596. ['None', '巧克力沮丧地垮著肩膀，']
597. ['None', '从下垂的耳朵与尾巴中完全看不见她刚刚的气势。']
598. ['None', '只见她叹了口气──']
599. ['巧克力', '「……来都来了，趁这个机会帮主人打扫一下家里也好……」']
600. ['None', '满脸落寞的巧克力就这么拖著沉重脚步走上了二楼。']
601. ['嘉祥', '「…………」']
602. ['None', '我知道巧克力没有笨到不懂我的意思，']
603. ['None', '也知道她其实一直都在强装开朗。']
604. ['None', '但是，就算这样我也不可能收回自己说过的话。']
605. ['None', '如果她们仰慕我的话，那就更不用说了。']
606. ['香草', '「主人，我们留下来会对主人造成困扰吗？因为我们是坏孩子？」']
607. ['None', '香草歪著头，']
608. ['None', '用平时那副毫无抑扬顿挫的语调朝我问道。']
609. ['嘉祥', '「……就因为妳们不是坏孩子，所以我不能让妳们留下来。」']
610. ['香草', '「明明不是坏孩子，却不能待在这里？」']
611. ['嘉祥', '「因为妳们是好孩子，所以才不行。」']
612. ['香草', '「嗯……？」']
613. ['None', '听完我的话，香草眨了眨眼，']
614. ['None', '像是在窥视我的内心似的，']
615. ['None', '盯著我看了好一阵子。']
616. ['香草', '「人类的心实在太复杂了，我们猫娘完全不明白。」']
617. ['香草', '「至少对我来说，我比较想一直待在喜欢的人身边。」']
618. ['嘉祥', '「香草……」']
619. ['香草', '「那我去找巧克力了。」']
620. ['None', '留下这句话以后，香草往二楼走去。']
621. ['None', '我就这么听著小小的脚步声逐渐远离，最后消失。']
622. ['嘉祥', '「……人心很复杂，吗。」']
623. ['None', '在除了我以外没有任何人的店里，']
624. ['None', '我将香草刚刚说过的话重复了一次。']
625. ['嘉祥', '「……现在想想，的确是很矛盾的想法呢。」']
626. ['None', '『我们猫娘完全不明白』']
627. ['None', '经她这么一说，我才发现其实事情单纯的不得了。']
628. ['嘉祥', '「……要是我的脑袋也能像猫一样单纯，不知道该有多轻松呢。」']
629. ['None', '我苦笑著望了一眼玻璃窗上的店名，']
630. ['None', '接著便开始收拾起刚送到没多久的茶具。']
631. ['香草', '「哎呀？今天那家章鱼烧摊子没有开呢。」']
632. ['None', '和昨天一样，我们在傍晚时分来到这座公园，']
633. ['None', '但是却找不到昨天那家章鱼烧摊的踪影。']
634. ['None', '本来我是想要亲自送巧克力和香草回老家去，但今天家里却偏偏没有半个人。']
635. ['None', '加上我又没有把老家的钥匙带出来，']
636. ['None', '所以为了打发时雨回家前的空档，我只好带著她们俩出来买东西。']
637. ['巧克力', '「……咦？啊，对、对不起我恍神了！」']
638. ['巧克力', '「刚刚说到哪了？木天蓼吗？」']
639. ['香草', '「差不多吧。」']
640. ['嘉祥', '「一个字都没对上吧。」']
641. ['嘉祥', '「巧克力，累了的话要不要找个地方休息？」']
642. ['巧克力', '「啊，好。那就先休息一下……」']
643. ['巧克力', '「不好意思让主人担心了，巧克力没事的。」']
644. ['嘉祥', '「……没什么好道歉的啦。」']
645. ['None', '巧克力有点困扰地笑著低头对我道歉。']
646. ['None', '我也知道她没有精神的理由，']
647. ['None', '所以什么也说不出口。']
648. ['嘉祥', '「刚好那里有张长椅，我们到那里去休息好了。」']
649. ['香草', '「那我去买点喝的回来。」']
650. ['嘉祥', '「那就拜托妳买三人份吧。」']
651. ['香草', '「了解。交给我吧。」']
652. ['None', '把零钱交给香草以后，我便带著巧克力走向长椅。']
653. ['巧克力', '「…………」']
654. ['None', '清凉的海风让公园里的草木沙沙作响。']
655. ['None', '在没有任何人的公园中，除了来自大自然的声音以外听不见任何声响。']
656. ['None', '长椅上的巧克力低著头不发一语，而坐在一旁的我也不知道该说些什么，']
657. ['None', '只能静待时间和不断下沉的柔和夕阳一同流逝。']
658. ['巧克力', '「……巧克力决定要回去了。」']
659. ['None', '虽然声音小到我差点听不见，']
660. ['None', '不过巧克力确实给了我这个答案。']
661. ['None', '我没有说话，只是摸了摸巧克力的头来代替回答。']
662. ['巧克力', '「……巧克力可以偶尔打电话给主人吗？」']
663. ['嘉祥', '「嗯。」']
664. ['巧克力', '「……那，巧克力可以再到主人的店里来玩吗？」']
665. ['嘉祥', '「嗯。」']
666. ['巧克力', '「主人……每天都会想起巧克力和香草吗……？」']
667. ['巧克力', '「就算相隔两地……巧克力还是可以……叫主人作主人吗……？」']
668. ['None', '巧克力强忍著呜咽，']
669. ['None', '用沙哑的嗓音不断朝我恳求。']
670. ['None', '虽然她咬著双唇强忍悲痛的模样令我十分痛心，']
671. ['None', '但是我只能拼命压抑住自己，以免吐出不负责任的话语。']
672. ['嘉祥', '「……嗯，当然了。」']
673. ['巧克力', '「呜……呜呜……！呜啊啊……！！主人……！！」']
674. ['巧克力', '「对不起……！！主人……！！呜呜～……！！」']
675. ['None', '我对连句安慰的话都说不出来的自己感到既焦躁又空虚，']
676. ['None', '只能尽可能、尽可能温柔地抚摸巧克力的头，']
677. ['None', '借此来弥补心中那份说不出口的歉意。']
678. ['巧克力', '「嘻嘻……主人果然还是很温柔呢……」']
679. ['嘉祥', '「……没那回事，其实我一点也不温柔。」']
680. ['巧克力', '「主人以前也说过一样的话呢……」']
681. ['嘉祥', '「以前……？」']
682. ['None', '巧克力瞇起双眼，对我露出微笑。']
683. ['巧克力', '「主人你还记得吗？就是巧克力和香草……」']
684. ['巧克力', '「刚被主人跟时雨带回家时的事情。」']
685. ['嘉祥', '「嗯，我当然记得。」']
686. ['None', '……那是半年前的一个寒冷日子。']
687. ['None', '当时，小到还说不好人话的两只猫娘，']
688. ['None', '就在路边靠在一起哭个不停。']
689. ['None', '我和时雨抱著这两只被寒风冻得直打颤的小小猫娘，']
690. ['None', '回到家里来的那天──']
691. ['None', '我怎么可能忘记重要的家人来到我们家的那一天呢。']
692. ['嘉祥', '「我还记得妳们刚开始完全没办法融入水无月家呢。」']
693. ['巧克力', '「因为那个时候我们对环境还不熟，而且四周都是不认识的人跟猫嘛……」']
694. ['嘉祥', '「而且妳们两个完全不吃饭，让时雨担心的要命。」']
695. ['巧克力', '「是啊，那时候真是让大家担心了。」']
696. ['None', '两人间的回忆让巧克力重新取回了一点笑容。']
697. ['巧克力', '「……主人你还记得巧克力和香草发烧那时的事吗……？」']
698. ['嘉祥', '「嗯，记得很清楚。」']
699. ['None', '那是巧克力和香草来到我们家几天后发生的事。']
700. ['None', '当时的巧克力和香草除了偶尔喝点水之外，']
701. ['None', '完全不碰我们准备的食物。']
702. ['None', '她们俩的身体原本就因为寒风而衰弱不已，再加上几天来不吃不喝导致营养失调，']
703. ['None', '结果不久就开始发起高烧来。']
704. ['巧克力', '「因为当时是半夜，所以完全没有人发现我们的状况。」']
705. ['巧克力', '「那个时候巧克力只觉得好痛苦、好难过又好寂寞……」']
706. ['巧克力', '「既发不出声音，手脚又动弹不得，」']
707. ['巧克力', '「只能一边期望有人能来帮帮巧克力，一边哭个不停……」']
708. ['巧克力', '「然后……」']
709. ['None', '『不要紧。我会在陪在妳们身边，没什么好担心的。』']
710. ['巧克力', '「主人那张又大又温暖的手掌的感触突然从头上传来。」']
711. ['巧克力', '「那时主人一直不停地安慰我们『不要紧、不要紧』，」']
712. ['巧克力', '「摸著巧克力和香草的手也从来没停过……」']
713. ['巧克力', '「直到早上我们被送去医院为止，主人都一直、一直待在我们身边……」']
714. ['巧克力', '「……于是巧克力心中的不安就好像从来没有过一样，全部烟消云散了。」']
715. ['巧克力', '「……那个时候，主人也说了同样的话──」']
716. ['巧克力', '「『其实我一点也不温柔』。」']
717. ['巧克力', '「可是，当初要不是主人把我们带回去，我们现在也不会待在这里。」']
718. ['巧克力', '「要是那晚主人没有陪在我们身边，我们或许到现在都没办法对任何人打开心房。」']
719. ['巧克力', '「多亏了主人，我们才开始愿意吃饭……」']
720. ['巧克力', '「也慢慢地和时雨、还有大家打成一片。」']
721. ['巧克力', '「……所以从那个时候开始，巧克力心中的主人就只有主人一个人而已了。」']
722. ['巧克力', '「巧克力一直都很喜欢温柔无比的主人哟？」']
723. ['None', '巧克力强忍著在眼眶里不断打转的泪水，']
724. ['None', '对我露出一道看不出是困扰、伤心还是开心……']
725. ['None', '但却是她尽最大努力挤出的微笑。']
726. ['巧克力', '「所以，巧克力一听到主人要离开的时候……」']
727. ['巧克力', '「就变得坐立不安，无论如何都想跟著主人一起走……」']
728. ['巧克力', '「所以才会拜托时雨帮我们想办法。」']
729. ['None', '仿佛马上就要消失一般的虚弱笑容。']
730. ['None', '巧克力的音色中充满了温柔与温暖，']
731. ['None', '但却也带著一丝悲伤与空虚。']
732. ['嘉祥', '「巧克力……」']
733. ['None', '虽然她说出这些话的原因是我，']
734. ['None', '但是我除了叫她的名字以外什么都做不到。']
735. ['巧克力', '「虽然巧克力是猫娘，不懂金钱之类的复杂的问题……」']
736. ['巧克力', '「可是……」']
737. ['巧克力', '「可是，巧克力还是想要待在主人身边……」']
738. ['巧克力', '「主人将来或许会过的很辛苦……这点巧克力已经察觉到了。」']
739. ['巧克力', '「虽然，这只不过是巧克力的直觉而已。不过……」']
740. ['巧克力', '「不管是扫地、洗衣服还是煮饭，只要是巧克力帮得上忙的主人尽管吩咐没关系……！」']
741. ['巧克力', '「就算现在做不到，巧克力也会努力学到好……！」']
742. ['巧克力', '「所以……」']
743. ['巧克力', '「所以，可以再……拜托主人一次吗……？」']
744. ['巧克力', '「巧克力……想要跟主人在一起……」']
745. ['None', '强忍著眼角不断打转的泪水，']
746. ['None', '巧克力再一次地恳求我。']
747. ['None', '『我当然也希望巧克力能陪在我身边──』']
748. ['None', '我把差点脱口而出的真心话吞回肚子里。']
749. ['None', '见到两人对自己投以如此坦率的好意与无条件的信任，']
750. ['None', '这叫我要怎么讨厌她们呢？']
751. ['None', '自从那天以来，巧克力和香草一直都是我最重要的家人。']
752. ['None', '光是和她们俩在一起，就能让我感到十分开心。']
753. ['None', '……但是，离开家出来自立是我一个人的决定，']
754. ['None', '我不希望自己的任性连累到最重要的家人，']
755. ['None', '让她们过著原本不该属于她们的辛苦生活。']
756. ['None', '『因为我重视妳们──』']
757. ['香草', '「我们猫娘只是对自己的欲望比较忠实罢了。」']
758. ['None', '这时，我内心的挣扎突然被香草的声音给打断。']
759. ['None', '只见不知道什么时候已经回来的香草，']
760. ['None', '正坐在巧克力身旁看著我。']
761. ['香草', '「拿我来说，我不只乐意把所有快乐的事跟巧克力分享，」']
762. ['香草', '「难过的时候也一样想要跟巧克力在一起。」']
763. ['香草', '「因为不能在一起，比起任何事都还来的更寂寞、更令人难过。」']
764. ['嘉祥', '「……香草。」']
765. ['香草', '「真的喜欢对方的话，就算会给对方添麻烦还是想要陪在对方身边。我觉得这是很理所当然的一件事。」']
766. ['香草', '「我们的幸福……」']
767. ['香草', '「就算是主人，也不该随便帮我们决定喔？」']
768. ['香草', '「再说，既然都知道最重要的主人在外面会吃苦了，我们怎么可能丢下主人一个人不管呢？」']
769. ['香草', '「虽然我也不知道我们能为主人做些什么……」']
770. ['香草', '「但是，至少我们可以在主人沮丧的时候陪在身旁鼓励主人喔。」']
771. ['None', '有如背后的夕阳一般，']
772. ['None', '温暖、又柔和的微笑。']
773. ['None', '虽然香草的态度一反平时，']
774. ['None', '但却反而更让她话沁透人心。']
775. ['香草', '「我想，时雨一定也是这样认为，所以才会默许我们跟到主人身边来。」']
776. ['香草', '「因为时雨没办法跟主人一起走，所以她才把主人托付给了我们。」']
777. ['香草', '「所以我觉得，如果主人真的为巧克力著想，就应该让她待下来才对。」']
778. ['None', '香草的口气中不带一丝迷惘。']
779. ['None', '她只是将自己的心意最率直、也最真诚的方式表达出来而已。']
780. ['None', '『能够决定巧克力和香草幸不幸福的人，并不是我』']
781. ['None', '再也无法思考任何事的脑海里，']
782. ['None', '现在只剩下这句话不断回响著。']
783. ['巧克力', '「……就算过得再怎么富裕，巧克力也不想待在没有主人的地方。」']
784. ['巧克力', '「就算会吃尽苦头，巧克力也想跟主人在一起。」']
785. ['巧克力', '「所以拜托主人，让我们继续留在主人身边好吗？」']
786. ['巧克力', '「只有这里，才是巧克力最想待的地方。」']
787. ['None', '虽然看起来好像随时都会哭出来，']
788. ['None', '但是巧克力依然不改脸上的微笑。']
789. ['None', '那是巧克力最为无邪、也最为纯真的心意。']
790. ['嘉祥', '「……没想到我这个人类居然会说不过猫娘呢。」']
791. ['None', '能够否定她这份心意的理由──']
792. ['None', '已经不存在于我内心任何角落了。']
793. ['巧克力＆香草', '『「主人，你是说……」』']
794. ['嘉祥', '「在我这里可没办法过得跟在水无月家时一样舒服喔？」']
795. ['巧克力', '「嗯！不要紧！」']
796. ['巧克力', '「只要能跟主人在一起，巧克力就很幸福了！」']
797. ['香草', '「哎呀呀，主人终于被我们攻陷了。」']
798. ['香草', '「嘴巴上说不要，身体倒是挺诚实的嘛？」']
799. ['None', '有如要将所有阴郁气氛吹跑般的阳光笑容。']
800. ['None', '亏我还一天到晚家人、家人的说……结果，最不相信巧克力和香草的人说不定就是我自己。']
801. ['None', '明明只要站在她们的立场想想，就能发现事情其实简单到不行。']
802. ['None', '虽然我一直觉得她们俩还小，']
803. ['None', '只不过和人类比起来，诚实坦率的猫娘说不定还更像人类一点。']
804. ['嘉祥', '「今后我们得一起加油啰。」']
805. ['巧克力', '「当然♪就算没办法每天吃鲔鱼肚也没关系！只要偶尔吃一次就满足了！」']
806. ['香草', '「肉只要有A4等级就够了。只要是松阪牛的话好。油花一级棒。」']
807. ['嘉祥', '「原来妳们两个在家都吃那么好……」']
808. ['None', '虽然对未来还抱著些许不安，']
809. ['None', '不过我还是尽自己最大的爱情，在她们俩头上大力搓了搓。']
810. ['嘉祥', '「好啦，我们回商店街去吧。」']
811. ['巧克力', '「咦？为什么？东西不是都买完了吗？」']
812. ['嘉祥', '「还得买妳们爱用的洗发精不是吗？」']
813. ['香草', '「喔喔～主人帅呆了。」']
814. ['香草', '「既然如此，就顺便去买个松阪牛吧。」']
815. ['嘉祥', '「也好，毕竟今天是个值得庆祝的日子嘛。」']
816. ['巧克力', '「太棒了～！今天是欢迎派对啰！」']
817. ['香草', '「主人出手好大方……！不愧是我们的主人……！」']
818. ['嘉祥', '「只有今天而已喔。」']
819. ['None', '带著乐不可支的巧克力与香草，']
820. ['None', '我们三个就这么朝著未来的明朗生活踏出全新的一步──']
